ts_utc,market,team,price,bid,ask,last_trade,volume,liquidity,closed
2026-06-12T11:39:29+00:00,group_winner,Panama,0.0285,0.028,0.029,0.028,32387.052417,52973.36467,False
2026-06-12T12:01:34+00:00,advance,South Korea,0.94,0.93,0.95,0.95,14427.381183999996,4719.5761,False
2026-06-12T12:01:34+00:00,advance,Czech Republic,0.58,0.57,0.59,0.59,18922.094755,7120.9169,False
2026-06-12T12:01:34+00:00,advance,Switzerland,0.938,0.937,0.939,0.939,70497.21613399996,23167.376,False
2026-06-12T12:01:34+00:00,advance,Bosnia and Herzegovina,0.655,0.65,0.66,0.66,23354.71997,28357.553,False
2026-06-12T12:01:34+00:00,advance,Morocco,0.865,0.86,0.87,0.86,23109.741274000004,24912.5568,False
2026-06-12T12:01:34+00:00,advance,Haiti,0.135,0.13,0.14,0.14,74361.24613000006,37048.2394,False
2026-06-12T12:01:34+00:00,advance,Australia,0.42,0.41,0.43,0.43,26841.113209000025,22904.8432,False
2026-06-12T12:01:34+00:00,advance,Turkey,0.8,0.79,0.81,0.81,23051.895167000002,11355.9277,False
2026-06-12T12:01:34+00:00,advance,Ecuador,0.875,0.87,0.88,0.88,16069.09410200001,18962.0156,False
2026-06-12T12:01:34+00:00,advance,Curaçao,0.075,0.07,0.08,0.08,30495.776177999986,28436.9293,False
2026-06-12T12:01:34+00:00,advance,Japan,0.795,0.79,0.8,0.8,21570.240245000005,9259.7579,False
2026-06-12T12:01:34+00:00,advance,Sweden,0.625,0.62,0.63,0.63,20024.835178999998,21385.2644,False
2026-06-12T12:01:34+00:00,advance,Iran,0.623,0.618,0.628,0.628,14405.640139000003,15615.16984,False
2026-06-12T12:01:34+00:00,advance,New Zealand,0.305,0.3,0.31,0.32,71832.06245299992,25820.1997,False
2026-06-12T12:01:34+00:00,advance,Uruguay,0.89,0.88,0.9,0.89,14813.888405000005,13749.4762,False
2026-06-12T12:01:34+00:00,advance,Cape Verde,0.295,0.29,0.3,0.3,11395.539511000003,34901.553,False
2026-06-12T12:01:34+00:00,advance,Senegal,0.715,0.71,0.72,0.72,50526.329825999994,29241.8278,False
2026-06-12T12:01:34+00:00,advance,Iraq,0.135,0.13,0.14,0.14,180577.3332209999,34019.1854,False
2026-06-12T12:01:34+00:00,advance,Austria,0.795,0.78,0.81,0.81,23557.829501000007,6317.5728,False
2026-06-12T12:01:34+00:00,advance,Jordan,0.225,0.21,0.24,0.21,63462.35073200006,32089.6749,False
2026-06-12T12:01:34+00:00,advance,Colombia,0.895,0.89,0.9,0.89,19977.959730999995,22428.0789,False
2026-06-12T12:01:34+00:00,advance,Mexico,0.9715,0.97,0.973,0.973,34326.83891300001,22112.35909,False
2026-06-12T12:01:34+00:00,advance,South Africa,0.175,0.17,0.18,0.17,24316.609835999992,12934.7061,False
2026-06-12T12:01:34+00:00,advance,Canada,0.855,0.85,0.86,0.86,41220.84467499907,31380.7191,False
2026-06-12T12:01:34+00:00,advance,Qatar,0.205,0.2,0.21,0.2,63999.161238999965,37159.3889,False
2026-06-12T12:01:34+00:00,advance,Brazil,0.9665,0.964,0.969,0.969,39144.87441599998,30930.542,False
2026-06-12T12:01:34+00:00,advance,Scotland,0.695,0.69,0.7,0.7,50888.368677999955,17526.1158,False
2026-06-12T12:01:34+00:00,advance,United States,0.84,0.83,0.85,0.85,38870.829830000024,31059.3586,False
2026-06-12T12:01:34+00:00,advance,Paraguay,0.625,0.62,0.63,0.63,28597.516902000003,26284.208,False
2026-06-12T12:01:34+00:00,advance,Germany,0.959,0.955,0.963,0.964,20690.719589,11045.411,False
2026-06-12T12:01:34+00:00,advance,Ivory Coast,0.775,0.77,0.78,0.78,10562.543655999994,29401.9433,False
2026-06-12T12:01:34+00:00,advance,Netherlands,0.915,0.91,0.92,0.92,24764.365893000002,8894.5799,False
2026-06-12T12:01:34+00:00,advance,Tunisia,0.365,0.36,0.37,0.37,45419.331316000054,29169.2192,False
2026-06-12T12:01:34+00:00,advance,Belgium,0.9625,0.956,0.969,0.969,19711.830731999995,14544.96495,False
2026-06-12T12:01:34+00:00,advance,Egypt,0.715,0.71,0.72,0.72,6341.631969,29587.1165,False
2026-06-12T12:01:34+00:00,advance,Spain,0.9815,0.981,0.982,0.982,51109.42176900004,54671.21185,False
2026-06-12T12:01:34+00:00,advance,Saudi Arabia,0.345,0.34,0.35,0.35,94988.79590899998,36951.2651,False
2026-06-12T12:01:34+00:00,advance,France,0.9665,0.966,0.967,0.964,53935.10620300001,28574.11626,False
2026-06-12T12:01:34+00:00,advance,Norway,0.85,0.84,0.86,0.86,77689.9439549999,16222.1907,False
2026-06-12T12:01:34+00:00,advance,Argentina,0.9595,0.957,0.962,0.962,20240.633519999992,12786.5427,False
2026-06-12T12:01:34+00:00,advance,Algeria,0.655,0.65,0.66,0.66,13450.628283999997,29732.3047,False
2026-06-12T12:01:34+00:00,advance,Portugal,0.9625,0.962,0.963,0.962,26295.16236900003,16483.20719,False
2026-06-12T12:01:34+00:00,advance,Uzbekistan,0.315,0.31,0.32,0.32,22162.03714,30382.2472,False
2026-06-12T12:01:34+00:00,advance,England,0.9685,0.968,0.969,0.969,22113.487747,11695.73689,False
2026-06-12T12:01:34+00:00,advance,Panama,0.365,0.36,0.37,0.36,42340.22809600002,36701.5394,False
2026-06-12T12:01:34+00:00,advance,DR Congo,0.42,0.41,0.43,0.43,23975.009255999994,15505.8919,False
2026-06-12T12:01:34+00:00,advance,Croatia,0.825,0.82,0.83,0.82,50456.868261999996,17051.3133,False
2026-06-12T12:01:34+00:00,advance,Ghana,0.495,0.49,0.5,0.5,74964.68550299994,29295.4689,False
2026-06-12T12:01:34+00:00,outright,Spain,0.1695,0.169,0.17,0.17,40274373.32941639,6277534.45688,False
2026-06-12T12:01:34+00:00,outright,New Zealand,0.0005,,0.001,0.001,45666904.73264519,19543748.48198,False
2026-06-12T12:01:34+00:00,outright,Switzerland,0.0135,0.013,0.014,0.014,42309316.80296276,1982825.35232,False
2026-06-12T12:01:34+00:00,outright,England,0.1045,0.104,0.105,0.105,34800781.039411224,6943864.93753,False
2026-06-12T12:01:34+00:00,outright,France,0.1605,0.16,0.161,0.161,46430062.058191136,6690734.06453,False
2026-06-12T12:01:34+00:00,outright,South Korea,0.0045,0.004,0.005,0.005,61139161.6674828,3206698.10955,False
2026-06-12T12:01:34+00:00,outright,Haiti,0.0005,,0.001,0.001,32251394.821820088,19309271.3528,False
2026-06-12T12:01:34+00:00,outright,Brazil,0.0845,0.084,0.085,0.085,36473139.83703374,6543101.52264,False
2026-06-12T12:01:34+00:00,outright,Jordan,0.0005,,0.001,0.001,31863403.821882773,19345486.72753,False
2026-06-12T12:01:34+00:00,outright,Curaçao,0.0005,,0.001,0.001,42158912.22691622,18919567.69252,False
2026-06-12T12:01:34+00:00,outright,Argentina,0.0875,0.087,0.088,0.088,37323479.249196,6027597.30906,False
2026-06-12T12:01:34+00:00,outright,Germany,0.0515,0.051,0.052,0.052,39711173.562761985,2061576.05275,False
2026-06-12T12:01:34+00:00,outright,Colombia,0.0175,0.017,0.018,0.018,44797258.68473328,4200961.16239,False
2026-06-12T12:01:34+00:00,outright,Iran,0.0015,0.001,0.002,0.001,49044079.75778998,11012711.14554,False
2026-06-12T12:01:34+00:00,outright,Portugal,0.1085,0.108,0.109,0.108,42457693.08255598,5526905.35532,False
2026-06-12T12:01:34+00:00,outright,Ghana,0.0015,0.001,0.002,0.002,40398780.81544194,15052855.77685,False
2026-06-12T12:01:34+00:00,outright,Netherlands,0.0445,0.044,0.045,0.045,41965064.11070364,2569554.7215,False
2026-06-12T12:01:34+00:00,outright,Algeria,0.0015,0.001,0.002,0.002,47258581.67721553,10051230.46743,False
2026-06-12T12:01:34+00:00,outright,Bosnia and Herzegovina,0.0015,0.001,0.002,0.002,31306408.586717904,14216620.35951,False
2026-06-12T12:01:34+00:00,outright,United States,0.0115,0.011,0.012,0.012,58439951.16198026,6879426.11247,False
2026-06-12T12:01:34+00:00,outright,Canada,0.0035,0.003,0.004,0.003,47477296.374332115,8523855.97793,False
2026-06-12T12:01:34+00:00,outright,Turkey,0.0115,0.011,0.012,0.012,40733654.15254816,2938788.83483,False
2026-06-12T12:01:34+00:00,outright,Uruguay,0.0095,0.009,0.01,0.009,43995858.96243899,10135138.61383,False
2026-06-12T12:01:34+00:00,outright,Mexico,0.0145,0.014,0.015,0.014,49512637.2040233,1850692.04895,False
2026-06-12T12:01:34+00:00,outright,Paraguay,0.0015,0.001,0.002,0.002,48895645.56933261,3977221.63159,False
2026-06-12T12:01:34+00:00,outright,Scotland,0.0025,0.002,0.003,0.002,44925501.71782936,15219065.35826,False
2026-06-12T12:01:34+00:00,outright,Japan,0.0215,0.021,0.022,0.022,45433510.571767956,641134.24133,False
2026-06-12T12:01:34+00:00,outright,Norway,0.0245,0.024,0.025,0.024,42943019.06861688,1376437.61917,False
2026-06-12T12:01:34+00:00,outright,Tunisia,0.0005,,0.001,0.001,35854112.263686016,16389928.0622,False
2026-06-12T12:01:34+00:00,outright,Ecuador,0.0085,0.008,0.009,0.009,49410538.73836272,4318507.44119,False
2026-06-12T12:01:34+00:00,outright,Uzbekistan,0.0005,,0.001,0.001,60214272.13841757,13842061.48266,False
2026-06-12T12:01:34+00:00,outright,Morocco,0.0155,0.015,0.016,0.015,47045116.89571875,1889628.79417,False
2026-06-12T12:01:34+00:00,outright,Panama,0.0005,,0.001,0.001,19673909.555756878,19163132.02699,False
2026-06-12T12:01:34+00:00,outright,Iraq,0.0005,,0.001,0.001,29311705.602710936,19469728.5344,False
2026-06-12T12:01:34+00:00,outright,South Africa,0.0005,,0.001,0.001,38659894.00789427,12927805.90008,False
2026-06-12T12:01:34+00:00,outright,Senegal,0.0065,0.006,0.007,0.007,41277334.71389445,5638667.46615,False
2026-06-12T12:01:34+00:00,outright,Ivory Coast,0.0035,0.003,0.004,0.004,56640691.79011631,5112546.12552,False
2026-06-12T12:01:34+00:00,outright,DR Congo,0.0015,0.001,0.002,0.001,60157720.54240984,9650259.55492,False
2026-06-12T12:01:34+00:00,outright,Cape Verde,0.0005,,0.001,0.001,40440003.17716404,18686158.87704,False
2026-06-12T12:01:34+00:00,outright,Czech Republic,0.0015,0.001,0.002,0.001,45544209.35801603,11763521.94641,False
2026-06-12T12:01:34+00:00,outright,Qatar,0.0005,,0.001,0.001,42248929.66833187,18307807.63369,False
2026-06-12T12:01:34+00:00,outright,Belgium,0.0205,0.02,0.021,0.021,44575487.496879555,2317478.50766,False
2026-06-12T12:01:34+00:00,outright,Australia,0.0015,0.001,0.002,0.001,48236200.14656782,18435287.64551,False
2026-06-12T12:01:34+00:00,outright,Saudi Arabia,0.0005,,0.001,0.001,49166382.02288372,12682678.40118,False
2026-06-12T12:01:34+00:00,outright,Austria,0.0045,0.004,0.005,0.005,46787427.36030736,3666544.95998,False
2026-06-12T12:01:34+00:00,outright,Croatia,0.0085,0.008,0.009,0.008,48304170.49037027,3182195.97651,False
2026-06-12T12:01:34+00:00,outright,Egypt,0.0025,0.002,0.003,0.003,53772426.07236071,6963787.66302,False
2026-06-12T12:01:34+00:00,outright,Sweden,0.0035,0.003,0.004,0.004,34379104.601419196,9807069.76024,False
2026-06-12T12:01:34+00:00,group_winner,Mexico,0.625,0.62,0.63,0.63,351531.11415699945,101914.126,False
2026-06-12T12:01:34+00:00,group_winner,South Korea,0.345,0.34,0.35,0.35,119287.90444000013,81067.7375,False
2026-06-12T12:01:34+00:00,group_winner,South Africa,0.009,0.008,0.01,0.008,334694.59770600003,47363.74873,False
2026-06-12T12:01:34+00:00,group_winner,Czech Republic,0.0375,0.037,0.038,0.037,71323.21329100004,55618.14958,False
2026-06-12T12:01:34+00:00,group_winner,Canada,0.305,0.3,0.31,0.3,68114.02489099994,74359.0328,False
2026-06-12T12:01:34+00:00,group_winner,Qatar,0.0215,0.021,0.022,0.021,79222.416633,98835.97336,False
2026-06-12T12:01:34+00:00,group_winner,Bosnia and Herzegovina,0.125,0.12,0.13,0.12,100091.56092899996,86121.4324,False
2026-06-12T12:01:34+00:00,group_winner,Switzerland,0.565,0.56,0.57,0.57,149749.51822299973,91710.1496,False
2026-06-12T12:01:34+00:00,group_winner,Scotland,0.073,0.07,0.076,0.075,217814.18444599997,82073.99932,False
2026-06-12T12:01:34+00:00,group_winner,Brazil,0.715,0.71,0.72,0.73,153076.70570500055,68163.0303,False
2026-06-12T12:01:34+00:00,group_winner,Haiti,0.012,0.009,0.015,0.013,61593.20481600001,67897.95696,False
2026-06-12T12:01:34+00:00,group_winner,Morocco,0.215,0.21,0.22,0.22,151687.96856500034,55160.6261,False
2026-06-12T12:01:34+00:00,group_winner,Paraguay,0.165,0.16,0.17,0.17,80329.81011899991,56283.8827,False
2026-06-12T12:01:34+00:00,group_winner,Turkey,0.385,0.38,0.39,0.39,205376.2881330003,36939.5754,False
2026-06-12T12:01:34+00:00,group_winner,United States,0.375,0.37,0.38,0.38,126846.42838299858,98417.8273,False
2026-06-12T12:01:34+00:00,group_winner,Australia,0.094,0.093,0.095,0.093,57796.12579599989,71652.58436,False
2026-06-12T12:01:34+00:00,group_winner,Curaçao,0.0045,0.004,0.005,0.004,43208.44067500004,45461.38037,False
2026-06-12T12:01:34+00:00,group_winner,Ecuador,0.215,0.21,0.22,0.22,47888.53850499997,70639.9136,False
2026-06-12T12:01:34+00:00,group_winner,Germany,0.665,0.66,0.67,0.67,144379.70883800014,48119.7435,False
2026-06-12T12:01:34+00:00,group_winner,Ivory Coast,0.128,0.124,0.132,0.124,45744.01340200001,69950.26282,False
2026-06-12T12:01:34+00:00,group_winner,Tunisia,0.0505,0.05,0.051,0.051,57783.09800999986,50244.89466,False
2026-06-12T12:01:34+00:00,group_winner,Japan,0.285,0.28,0.29,0.29,152891.66258999804,70804.9591,False
2026-06-12T12:01:34+00:00,group_winner,Netherlands,0.545,0.54,0.55,0.55,111350.57754399988,68415.9742,False
2026-06-12T12:01:34+00:00,group_winner,Sweden,0.145,0.14,0.15,0.14,63634.08151599988,32723.2823,False
2026-06-12T12:01:34+00:00,group_winner,New Zealand,0.0375,0.035,0.04,0.04,28497.707965,87574.18132,False
2026-06-12T12:01:34+00:00,group_winner,Iran,0.1305,0.13,0.131,0.13,93735.25134400005,65112.76003,False
2026-06-12T12:01:34+00:00,group_winner,Egypt,0.155,0.15,0.16,0.16,35604.079481000066,44298.5085,False
2026-06-12T12:01:34+00:00,group_winner,Belgium,0.695,0.69,0.7,0.7,102139.95274500008,53241.5338,False
2026-06-12T12:01:34+00:00,group_winner,Cape Verde,0.012,0.011,0.013,0.013,86799.79895,67489.96865,False
2026-06-12T12:01:34+00:00,group_winner,Uruguay,0.185,0.18,0.19,0.19,30028.20959000003,75447.0438,False
2026-06-12T12:01:34+00:00,group_winner,Spain,0.785,0.78,0.79,0.79,60782.85026899997,69830.7429,False
2026-06-12T12:01:34+00:00,group_winner,Saudi Arabia,0.016,0.013,0.019,0.013,127797.546388,111388.84783,False
2026-06-12T12:01:34+00:00,group_winner,Senegal,0.105,0.1,0.11,0.11,92029.11212500001,70719.6133,False
2026-06-12T12:01:34+00:00,group_winner,Norway,0.24,0.23,0.25,0.25,64059.87020599997,72083.1398,False
2026-06-12T12:01:34+00:00,group_winner,France,0.655,0.65,0.66,0.66,188201.9031289995,84736.6249,False
2026-06-12T12:01:34+00:00,group_winner,Iraq,0.007,0.006,0.008,0.006,101621.50103099996,140341.19142,False
2026-06-12T12:01:34+00:00,group_winner,Algeria,0.0955,0.095,0.096,0.095,54496.96309700004,74212.23691,False
2026-06-12T12:01:34+00:00,group_winner,Jordan,0.0165,0.014,0.019,0.019,29593.298368999982,69260.204,False
2026-06-12T12:01:34+00:00,group_winner,Argentina,0.715,0.71,0.72,0.71,167174.24846999926,82300.9448,False
2026-06-12T12:01:34+00:00,group_winner,Austria,0.185,0.18,0.19,0.19,44210.93879300001,73831.5968,False
2026-06-12T12:01:34+00:00,group_winner,Colombia,0.325,0.32,0.33,0.32,47891.20744399997,66234.5898,False
2026-06-12T12:01:34+00:00,group_winner,DR Congo,0.041,0.04,0.042,0.042,38288.572953000024,58215.51255,False
2026-06-12T12:01:34+00:00,group_winner,Portugal,0.625,0.62,0.63,0.63,169952.72032599954,47537.815,False
2026-06-12T12:01:34+00:00,group_winner,Uzbekistan,0.024,0.022,0.026,0.024,27506.181808000005,54325.71933,False
2026-06-12T12:01:34+00:00,group_winner,England,0.695,0.69,0.7,0.7,59974.847148999994,44030.593,False
2026-06-12T12:01:34+00:00,group_winner,Ghana,0.0595,0.058,0.061,0.058,24499.20672700002,49391.88588,False
2026-06-12T12:01:34+00:00,group_winner,Croatia,0.215,0.21,0.22,0.22,26167.59132700003,69543.0298,False
2026-06-12T12:01:34+00:00,group_winner,Panama,0.0285,0.028,0.029,0.028,32387.052417,53269.21619,False
