ts_placed,bet_id,bet_type,legs,model_prob,decimal_odds,implied_prob,edge_pct,stake_eur,potential_return_eur,status,result,notes
2026-06-15,wc15-parlay-bankers,parlay_3leg,Spain win | Uruguay win | Iran win,0.245,3.1,0.323,-24.2,50.0,155.0,open,,"CORRECTED on refreshed blended model after 12-game ingest: legs Spain 0.868 / Uruguay 0.602 / Iran 0.468 (blended, MARKET_WEIGHT 0.5) -> combined 0.245. Earlier +3.5% est used round-number/pure approximations and was too rosy; true EV @3.10 = -EUR12.1 (-24.2%). Iran leg (0.468) collapsed in the draw-heavy recalibration; pure-model combined would be 0.370 (+EUR7.4), so truth sits between but edge too thin to lean on."
2026-06-18,wc18-can-qat-draw,single,Canada vs Qatar - Draw,0.2,5.7,0.175,14.0,15.0,85.5,scratched,,"SCRATCHED pre-KO: Alphonso Davies CONFIRMED available (Marsch); the fade rested on Davies being out. Model's 70% under-rates a full-strength host Canada, so the draw edge (20% vs 17.5%) is not real. PRIMARY PLAY. Model fades Canada host-chalk: Canada ML -370 (78.7% impl) vs model 70% = -11.1% EV, no bet. Draw +470 (17.5% impl) vs model 20% = +14.0% EV. Full Kelly 2.98%; logging HALF-Kelly (1.49% of EUR1,000 bankroll). News corroborates the fade: Alphonso Davies (hamstring) unlikely; Bombito game-time decision; Lopetegui's Qatar set up to sit deep. Likeliest scripts 1-1/0-0/1-0Can-late."
2026-06-18,wc18-qatar-ml,single,Qatar to beat Canada,0.1,11.0,0.091,10.0,5.0,55.0,scratched,,"SCRATCHED pre-KO: same reason as wc18-can-qat-draw — Davies confirmed available, the 'Canada does not win' position loses its premise. LONGSHOT DART, same match as wc18-can-qat-draw (jointly = 'Canada does not win', combined model 30% vs devig market 25.2%). Qatar +1000 (9.1% impl) vs model 10% = +10.0% EV. Full Kelly 1.0%; logging HALF-Kelly (0.5% of EUR1,000). Afif/Almoez Ali on the counter the only path. High variance; small stake intentional."
2026-06-18,wc18-cze-rsa-draw,single,Czech Republic vs South Africa - Draw,0.28,3.7,0.27,3.6,7.0,25.9,scratched,,"SCRATCHED: model now ingests SA's suspensions (availability.csv, -50 Elo). Draw recomputed 28.1%->26.9%, so EV at +270 falls from +3.6% to ~-0.4% (fair, no edge). The 'thin edge' was an artifact of the stale prior. SPECULATIVE. Draw +270 (27.0% impl) vs model 28% = +3.6% EV (thin). Full Kelly 1.33%; logging HALF-Kelly (0.67% of EUR1,000). NB: model's headline edge here is South Africa +370 (model 28% vs ~20% devig = +31.6% EV) but that is a MIRAGE - the model cannot see SA's two suspensions (Sithole, Zwane sent off vs Mexico) and toothless attack, so true SA prob << 28%. NOT betting SA. Both coaches 70+ (Koubek/Broos), elimination game, both defenses passive -> draw/Under the honest lean."
2026-06-24,wc24-bosnia-ml,single,Bosnia & Herzegovina to beat Qatar,0.418,1.37,0.73,-42.7,100.0,137.0,settled,won,"CONTEXTUAL banker (NOT a model edge - model 41.8% badly under-rates Bosnia). Qatar played last 37 min vs Canada with 9 men (two reds -> suspensions today) and lost 6-0; demoralised, both teams need a win so game opens up for Bosnias superior quality + Dzeko. Market/Kalshi ~70%. Model cannot see Qatars suspensions/collapse. USD. Re-pull near 3pm ET KO."
2026-06-24,wc24-skorea-ml,single,South Korea to beat South Africa,0.503,1.69,0.592,-15.0,90.0,152.1,settled,lost,"VALUE side (model 50.3% vs market ~58%). SK need only a draw to advance; SA must win and have been toothless (struggled to create all tourney, lost Sithole/Zwane to reds earlier). SA chase -> SK counter; SK quality under Hong Myung-bo. USD. Re-pull near ~8-9pm ET KO."
2026-06-24,wc24-morocco-ml,single,Morocco to beat Haiti,0.693,1.22,0.82,-15.5,60.0,73.2,settled,won,"Banker vs ELIMINATED Haiti (lost both, 0 goals, 4 conceded). Morocco need >=draw to qualify, want win to top group -> fully motivated quality side. Heavy juice (-455) so small stake. Model 69% under-rates. USD."
2026-06-24,wc24-mexico-fade,double_chance,Mexico NOT to win (Czechia win or Draw),0.364,1.85,0.541,-32.6,50.0,92.5,settled,lost,"CONTEXTUAL FADE / upside dart. Mexico already qualified AND topping Group A (6pts, GD+3) at Azteca -> will rotate starters in a dead rubber for them. Czechia MUST win (1pt) and are motivated. Classic rotated-qualified-fav vs desperate-dog spot. Market already cut Mexico to ~49% devig; betting non-Mexico at plus money. DC price ~1.85 estimate - CONFIRM at book. USD."
2026-06-26,wc26-norfra-over25,single,Norway vs France - Over 2.5 goals,0.62,1.65,0.606,2.3,100.0,165.0,open,,"BEST ANGLE/contextual lean. Both ALREADY QUALIFIED (6pts each) -> seeding-only game. Norway making ~10 changes; Saliba OUT for France (weakens their backline); Haaland & Mbappe both on 4 goals in a Golden Boot race. Open, low-intensity-but-talented = goals. Over 2.5 @1.65 (-155). KEY CHECK: confirm Haaland is NOT among Norways rested 10 before placing - if Haaland rests, downgrade. USD. KO 3pm ET."
2026-06-26,wc26-spain-ml,single,Spain to beat Uruguay,0.643,1.5,0.667,-3.6,100.0,150.0,open,,"Soundest SIDE - model (64.3%) AND market (~66%) agree. Spain best statistical side in tourney (70% poss, +40 shots), unbeaten 32 games, Yamal back in XI. Uruguay must win but toothless (2 pts, cant finish). Spain tops group with a draw so motivated but safe-ish. -200 juice. USD. KO 8pm ET."
2026-06-26,wc26-belgium-ml,single,Belgium to beat New Zealand,0.6,1.18,0.847,-29.2,50.0,59.0,open,,"Anchor banker. Belgium MUST WIN and named FULL-STRENGTH XI (Courtois, De Bruyne, Lukaku, Doku, Trossard) vs weak NZ. Model 60% badly under-rates (true ~84% per market). Deep juice -549 so small anchor stake. USD. KO 11pm ET."
2026-06-26,wc26-senegal-ml,single,Senegal to beat Iraq,0.503,1.24,0.806,-37.6,50.0,62.0,open,,"Quality-gap banker. Senegal far stronger, motivated for slim 3rd-place hope + pride vs eliminated-ish Iraq. Both lost 2 but Senegal class gap large. Model 50% under-rates (market ~80%). -425 juice, small stake. USD. KO 3pm ET."
2026-06-27,wc27-eng-hcap,single,England -1.5 vs Panama (win by 2+),0.55,1.5,0.667,-17.5,90.0,135.0,open,,"Most reliable. England named a STRONG near-full XI (Kane, Bellingham, Rashford, Saka, Stones, Pickford) - NOT rotating because they must top Group L on GD. Panama ELIMINATED with 0 goals scored in 2 games. England by 2+ very live (won 4 goals across 2 games). Main book handicap set at England -2.5, so -1.5 is the safer line. USD. KO 5pm ET."
2026-06-27,wc27-cro-gha-under25,single,Croatia vs Ghana - Under 2.5 goals,0.55,1.58,0.633,-13.1,80.0,126.4,open,,"Strong contextual lean. Ghana have conceded 0 goals in 2 games, defend for 90 and need only a DRAW to advance -> they sit deep. Croatia MUST win but ground out a 1-0 vs Panama; patience not fireworks. Consensus = low-scoring (Under 2.5 -172). USD. KO 5pm ET."
2026-06-27,wc27-alg-aut-draw,single,Algeria vs Austria - Draw,0.285,2.15,0.465,-38.7,70.0,150.5,open,,"Contextual value dart. Austria advance with a DRAW (2nd on GD) so they will park the bus; Algeria must win and have to break them down. Same exact setup as Paraguay-Australia two days ago, which finished 0-0. Market makes the draw the most likely outcome (+115). Model badly under-rates the draw (28.5% vs market 46.5%). USD. KO 10pm ET."
2026-06-27,wc27-drc-ml,single,DR Congo to beat Uzbekistan,0.388,2.55,0.392,-1.1,60.0,153.0,open,,"Plus-money lean. DR Congo MUST win to advance (motivated), defensively excellent (1-1 vs Portugal, narrow 1-0 loss to Colombia) vs an ELIMINATED Uzbekistan (lost 3-1, 5-0). Only +155 because DRC are low-scoring/draw-prone, but the motivation+organisation gap supports a slight-value price. USD. KO 7:30pm ET."
